"Class","Kids Driving","age","Kids at Home","Years at Job","Parent","Marital Status","Sex","Education","Job","Travel Time","Car Use","Car Type","Red Car","Claim Frequency","License Revoked","Car Age","Home Value","Income","Bluebook Car Value","Old Claim Amount"
0,0,47,0,10,"No","Yes","M","Bachelors","Manager",52,"Private","Minivan","yes",0,"No",6,190629,70241,15670,0
1,2,40,2,11,"Yes","No","M","High School","Blue Collar",5,"Commercial","Pickup","yes",1,"No",1,0,63913,5500,1896
0,0,37,0,7,"No","Yes","F","Bachelors","Manager",34,"Private","SUV","no",0,"No",12,300906,114636,33240,0
0,0,32,3,0,"No","Yes","F","High School","Home Maker",51,"Private","SUV","no",0,"No",1,107325,0,10350,0
0,0,49,0,12,"No","No","M","High School","Professional",17,"Private","Minivan","yes",5,"No",8,0,66972,24760,6813
0,0,50,0,12,"No","Yes","F","High School","Blue Collar",49,"Commercial","Pickup","no",0,"No",1,187982,45750,19490,0
0,0,48,0,15,"No","Yes","F","Masters","Lawyer",53,"Private","SUV","no",0,"No",18,219277,79078,9410,0
1,2,44,3,13,"No","Yes","M","<High School","Blue Collar",77,"Commercial","Pickup","yes",2,"No",1,108984,18154,6420,8183
1,0,34,1,13,"No","Yes","M","High School","Blue Collar",24,"Commercial","Pickup","no",1,"Yes",1,151790,38307,5330,17857
0,1,37,3,10,"No","Yes","F","High School","Clerical",49,"Private","Sports Car","no",0,"No",1,112574,28284,7810,0
1,0,50,0,10,"No","No","F","PhD","Lawyer",6,"Private","SUV","no",2,"Yes",12,0,216924,6500,27369
0,0,48,0,8,"No","Yes","F","Masters","Lawyer",24,"Private","SUV","no",0,"No",21,221009,66702,15580,0
0,0,40,0,14,"No","Yes","F","<High School","Clerical",20,"Commercial","Pickup","no",0,"No",6,192942,42420,25200,0
0,0,49,0,14,"No","Yes","M","High School","Blue Collar",37,"Commercial","Minivan","yes",2,"No",1,201302,47796,15620,5150
0,0,50,0,11,"No","No","M","Masters","Professional",31,"Commercial","Pickup","no",2,"No",16,0,104831,6500,6657
1,0,57,0,12,"No","No","M","High School","Blue Collar",5,"Commercial","Pickup","no",1,"No",9,0,62203,7720,7326
0,0,48,0,8,"No","Yes","F","High School","Clerical",38,"Private","Pickup","no",0,"Yes",7,117343,28012,26370,0
0,0,49,0,14,"No","No","F","<High School","Clerical",35,"Private","SUV","no",0,"No",5,0,24490,8850,0
0,0,53,0,7,"No","No","M","Bachelors","Professional",42,"Private","Van","yes",0,"No",12,0,48194,16690,0
0,0,43,3,17,"No","Yes","F","<High School","Clerical",69,"Private","Sports Car","no",0,"No",1,166396,19012,7700,0
0,0,46,0,12,"No","Yes","M","<High School","Blue Collar",52,"Private","Pickup","yes",1,"No",1,210039,38392,9940,5629
1,0,39,0,0,"No","No","F","Bachelors","Home Maker",41,"Commercial","SUV","no",2,"No",14,0,0,10070,3855
